file_type,sra_name,guid,fq1,fq2
ebi,ERR272162,,,
ebi,ERR272163,,,
ebi,ERR272164,,,
ebi,ERR272165,,,
ebi,ERR272166,,,
ebi,ERR272167,,,
ebi,ERR272168,,,
ebi,ERR272170,,,
ebi,ERR272171,,,
ebi,ERR272172,,,
ebi,ERR272173,,,
ebi,ERR272174,,,
ebi,ERR272175,,,
ebi,ERR272176,,,
ebi,ERR272177,,,
ebi,ERR272189,,,
ebi,ERR272190,,,
ebi,ERR272193,,,
ebi,ERR272194,,,
ebi,ERR272195,,,
ebi,ERR272196,,,
ebi,ERR272197,,,
ebi,ERR272198,,,
ebi,ERR272199,,,
ebi,ERR272200,,,
ebi,ERR340576,,,
ebi,ERR340577,,,
ebi,ERR340578,,,
ebi,ERR340579,,,
ebi,ERR340580,,,
ebi,ERR340581,,,
ebi,ERR340582,,,
ebi,ERR340583,,,
ebi,ERR340584,,,
ebi,ERR340585,,,
ebi,ERR340586,,,
ebi,ERR340587,,,
ebi,ERR340588,,,
ebi,ERR340589,,,
ebi,ERR340590,,,
ebi,ERR340591,,,
ebi,ERR340592,,,
ebi,ERR340593,,,
ebi,ERR340594,,,
ebi,ERR340595,,,
ebi,ERR340596,,,
ebi,ERR340597,,,
ebi,ERR340598,,,
ebi,ERR340599,,,
ebi,ERR340600,,,
ebi,ERR340601,,,
ebi,ERR340602,,,
ebi,ERR340603,,,
ebi,ERR340604,,,
ebi,ERR340605,,,
ebi,ERR340606,,,
ebi,ERR340607,,,
ebi,ERR340608,,,
ebi,ERR340609,,,
ebi,ERR340610,,,
ebi,ERR340611,,,
ebi,ERR340612,,,
ebi,ERR340613,,,
ebi,ERR340614,,,
ebi,ERR340615,,,
ebi,ERR340616,,,
ebi,ERR340617,,,
ebi,ERR340618,,,
ebi,ERR340619,,,
ebi,ERR340620,,,
ebi,ERR340621,,,
ebi,ERR340622,,,
ebi,ERR340623,,,
ebi,ERR340624,,,
ebi,ERR340625,,,
ebi,ERR340626,,,
ebi,ERR340627,,,
ebi,ERR340628,,,
ebi,ERR340629,,,
ebi,ERR340630,,,
ebi,ERR340631,,,
ebi,ERR340632,,,
ebi,ERR340633,,,
ebi,ERR340634,,,
ebi,ERR340635,,,
ebi,ERR340636,,,
ebi,ERR340637,,,
ebi,ERR340638,,,
ebi,ERR340639,,,
ebi,ERR340640,,,
ebi,ERR340641,,,
ebi,ERR340642,,,
ebi,ERR340643,,,
ebi,ERR340644,,,
ebi,ERR340645,,,
ebi,ERR340646,,,
ebi,ERR340647,,,
ebi,ERR340648,,,
ebi,ERR340649,,,
ebi,ERR340650,,,
ebi,ERR340651,,,
ebi,ERR340652,,,
ebi,ERR340653,,,
ebi,ERR340654,,,
ebi,ERR340655,,,
ebi,ERR340656,,,
ebi,ERR340657,,,
ebi,ERR340658,,,
ebi,ERR340659,,,
ebi,ERR340660,,,
ebi,ERR340661,,,
ebi,ERR340662,,,
ebi,ERR340663,,,
ebi,ERR340575,,,
ebi,ERR340664,,,
ebi,ERR232281,,,
ebi,ERR232282,,,
ebi,ERR339866,,,
ebi,ERR339867,,,
ebi,ERR339868,,,
ebi,ERR339869,,,
ebi,ERR339870,,,
ebi,ERR339871,,,
ebi,ERR339872,,,
ebi,ERR339873,,,
ebi,ERR339874,,,
ebi,ERR339875,,,
ebi,ERR339876,,,
ebi,ERR339877,,,
ebi,ERR339878,,,
ebi,ERR339879,,,
ebi,ERR339880,,,
ebi,ERR339881,,,
ebi,ERR339882,,,
ebi,ERR339883,,,
ebi,ERR339884,,,
ebi,ERR339885,,,
ebi,ERR339886,,,
ebi,ERR339887,,,
ebi,ERR339888,,,
ebi,ERR339889,,,
ebi,ERR339890,,,
ebi,ERR339891,,,
ebi,ERR339892,,,
ebi,ERR339893,,,
ebi,ERR339894,,,
ebi,ERR339895,,,
ebi,ERR339896,,,
ebi,ERR339897,,,
ebi,ERR339898,,,
ebi,ERR339899,,,
ebi,ERR339900,,,
ebi,ERR339901,,,
ebi,ERR339902,,,
ebi,ERR339903,,,
ebi,ERR339904,,,
ebi,ERR339905,,,
ebi,ERR339906,,,
ebi,ERR339907,,,
ebi,ERR339908,,,
ebi,ERR339909,,,
ebi,ERR339910,,,
ebi,ERR339911,,,
ebi,ERR339912,,,
ebi,ERR339913,,,
ebi,ERR339914,,,
ebi,ERR339915,,,
ebi,ERR339916,,,
ebi,ERR339917,,,
ebi,ERR339918,,,
ebi,ERR339919,,,
ebi,ERR339920,,,
ebi,ERR339921,,,
ebi,ERR339922,,,
ebi,ERR339923,,,
ebi,ERR339924,,,
ebi,ERR339925,,,
ebi,ERR339926,,,
ebi,ERR339927,,,
ebi,ERR339928,,,
ebi,ERR339929,,,
ebi,ERR339930,,,
ebi,ERR339931,,,
ebi,ERR339932,,,
ebi,ERR339933,,,
ebi,ERR339934,,,
ebi,ERR339935,,,
ebi,ERR339936,,,
ebi,ERR339937,,,
ebi,ERR339938,,,
ebi,ERR339939,,,
ebi,ERR339940,,,
ebi,ERR339941,,,
ebi,ERR339942,,,
ebi,ERR339943,,,
ebi,ERR339944,,,
ebi,ERR339945,,,
ebi,ERR339946,,,
ebi,ERR339947,,,
ebi,ERR339948,,,
ebi,ERR339949,,,
ebi,ERR339950,,,
ebi,ERR339951,,,
ebi,ERR339952,,,
ebi,ERR339953,,,
ebi,ERR339954,,,
ebi,ERR339955,,,
ebi,ERR339956,,,
ebi,ERR339957,,,
ebi,ERR339958,,,
ebi,ERR339959,,,
ebi,ERR339960,,,
ebi,ERR339961,,,
ebi,ERR339492,,,
ebi,ERR339493,,,
ebi,ERR339494,,,
ebi,ERR339495,,,
ebi,ERR339496,,,
ebi,ERR339497,,,
ebi,ERR339498,,,
ebi,ERR339499,,,
ebi,ERR339500,,,
ebi,ERR339501,,,
ebi,ERR339502,,,
ebi,ERR339503,,,
ebi,ERR339504,,,
ebi,ERR339505,,,
ebi,ERR339506,,,
ebi,ERR339507,,,
ebi,ERR339508,,,
ebi,ERR339509,,,
ebi,ERR339510,,,
ebi,ERR339511,,,
ebi,ERR339512,,,
ebi,ERR339513,,,
ebi,ERR339514,,,
ebi,ERR339515,,,
ebi,ERR339516,,,
ebi,ERR339517,,,
ebi,ERR339518,,,
ebi,ERR339519,,,
ebi,ERR339520,,,
ebi,ERR339521,,,
ebi,ERR339522,,,
ebi,ERR339962,,,
ebi,ERR339963,,,
ebi,ERR339964,,,
ebi,ERR339965,,,
ebi,ERR339966,,,
ebi,ERR339967,,,
ebi,ERR339968,,,
ebi,ERR339969,,,
ebi,ERR339970,,,
ebi,ERR339971,,,
ebi,ERR339972,,,
ebi,ERR339973,,,
ebi,ERR339974,,,
ebi,ERR339975,,,
